序,代码,名称,更新日期,总股本,流通A股,人均持股数,每股收益,每股净资产,加权净资产收益率,营业收入,营业收入同比,营业利润,投资收益,利润总额,净利润,净利润同比,未分配利润,每股未分配利润,销售毛利率,总资产,流动资产,固定资产,无形资产,总负债,流动负债,长期负债,资产负债比率,股东权益,股东权益比,公积金,每股公积金,流通B股,H股,上市日期
1,600000,浦发银行,2015/09/30,187亿,187亿,6.24万,1.99,14.49,14.37,1086亿,21.01,484亿,4.98亿,490亿,372亿,6.79,781亿,4.19,0.00,4.82万亿,0,174亿,8.02亿,4.52万亿,0,0,93.70,3003亿,6.23,606亿,3.25,0,0,1999/11/10
2,600004,白云机场,2015/09/30,11.5亿,11.5亿,2.77万,0.81,8.03,10.48,42.0亿,2.86,12.8亿,175万,12.9亿,9.26亿,24.35,40.4亿,3.52,40.01,117亿,28.4亿,62.0亿,2040万,22.9亿,21.1亿,1.77亿,19.53,92.4亿,78.85,34.0亿,2.96,0,0,2003/04/28
3,600005,武钢股份,2015/09/30,101亿,101亿,2.43万,-0.10,3.44,-2.81,490亿,-35.21,-12.0亿,1.20亿,-11.8亿,-10.0亿,-200.23,103亿,1.02,6.43,1004亿,424亿,448亿,9.06亿,653亿,550亿,103亿,65.05,348亿,34.64,99.3亿,0.98,0,0,1999/08/03
4,600006,东风汽车,2015/09/30,20.0亿,20.0亿,1.02万,0.17,3.20,5.30,115亿,-11.23,1.83亿,2.73亿,2.54亿,3.32亿,78.68,30.4亿,1.52,15.75,204亿,137亿,31.6亿,6.67亿,122亿,114亿,8.56亿,59.84,64.0亿,31.37,6.15亿,0.31,0,0,1999/07/27
5,600007,中国国贸,2015/09/30,10.1亿,10.1亿,4.66万,0.46,5.45,8.71,16.6亿,0.84,6.13亿,1099万,6.21亿,4.66亿,8.52,21.0亿,2.09,52.27,101亿,9.90亿,11.6亿,11.8亿,46.1亿,21.1亿,25.0亿,45.65,54.9亿,54.33,18.7亿,1.86,0,0,1999/03/12
6,600008,首创股份,2015/09/30,24.1亿,22.0亿,1.55万,0.10,3.34,3.41,28.7亿,0.65,2.07亿,1.28亿,3.31亿,2.44亿,10.48,15.4亿,0.64,36.05,334亿,143亿,32.9亿,89.6亿,229亿,88.3亿,140亿,68.40,80.6亿,24.12,33.5亿,1.39,0,0,2000/04/27
7,600009,上海机场,2015/09/30,19.3亿,10.9亿,1.98万,1.00,10.23,9.95,47.2亿,10.45,25.0亿,4.52亿,25.6亿,19.2亿,21.92,139亿,7.21,46.34,244亿,114亿,92.5亿,3.37亿,43.6亿,18.6亿,25.0亿,17.87,197亿,80.77,25.8亿,1.34,0,0,1998/02/18
8,600010,包钢股份,2015/09/30,326亿,157亿,2.66万,-0.06,1.52,-4.02,175亿,-25.89,-24.9亿,3681万,-16.3亿,-13.2亿,-265.66,10.6亿,0.03,-2.61,1481亿,445亿,263亿,20.4亿,985亿,851亿,133亿,66.47,495亿,33.40,148亿,0.45,0,0,2001/03/09
9,600011,华能国际,2015/09/30,144亿,105亿,8.89万,0.92,5.17,18.40,972亿,-7.98,210亿,13.1亿,215亿,132亿,16.74,371亿,2.57,30.34,2973亿,309亿,1902亿,123亿,2066亿,1167亿,899亿,69.51,746亿,25.08,143亿,0.99,0,39.2亿,2001/12/06
10,600012,皖通高速,2015/09/30,16.6亿,11.7亿,2.60万,0.42,4.75,9.03,18.3亿,3.69,9.54亿,5786万,9.53亿,7.02亿,4.79,50.0亿,3.01,60.01,117亿,9.96亿,7.95亿,91.5亿,30.5亿,9.63亿,20.9亿,25.99,78.9亿,67.23,2.81亿,0.17,0,4.93亿,2003/01/07
