Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,10.47,11.00,10.47,10.91,33517800,10.91
2015-02-12,10.38,10.49,10.27,10.47,8241100,10.47
2015-02-11,10.36,10.55,10.32,10.37,6621600,10.37
2015-02-10,10.14,10.38,10.09,10.37,8471200,10.37
2015-02-09,10.45,10.52,10.11,10.13,9535300,10.13
2015-02-06,10.48,10.64,10.40,10.42,13863200,10.42
2015-02-05,10.35,10.70,10.15,10.47,20341900,10.47
2015-02-04,10.40,10.49,10.27,10.30,10709600,10.30
2015-02-03,10.18,10.44,10.18,10.38,7831900,10.38
2015-02-02,10.06,10.26,10.06,10.18,4862800,10.18
2015-01-30,10.25,10.32,10.15,10.19,5625900,10.19
2015-01-29,10.30,10.38,10.23,10.25,6336600,10.25
2015-01-28,10.35,10.43,10.22,10.33,7589800,10.33
2015-01-27,10.40,10.52,10.21,10.34,12688800,10.34
2015-01-26,10.04,10.48,10.04,10.38,16658900,10.38
2015-01-23,10.11,10.17,10.01,10.04,9937500,10.04
2015-01-22,9.97,10.12,9.89,10.11,12609200,10.11
2015-01-21,9.78,9.95,9.74,9.94,9417000,9.94
2015-01-20,9.42,9.75,9.42,9.75,7552800,9.75
2015-01-19,9.71,9.75,9.24,9.38,9244300,9.38
2015-01-16,9.96,10.02,9.80,9.86,7956100,9.86
2015-01-15,9.93,10.06,9.90,9.93,4672800,9.93
2015-01-14,10.19,10.19,9.89,9.90,7978600,9.90
2015-01-13,10.02,10.20,9.95,10.15,11432100,10.15
2015-01-12,10.03,10.14,9.91,10.01,10737800,10.01
2015-01-09,9.81,10.17,9.81,9.96,11035100,9.96
2015-01-08,9.86,9.93,9.80,9.80,6080400,9.80
2015-01-07,9.89,10.01,9.80,9.87,7057600,9.87
2015-01-06,9.55,10.04,9.48,9.89,15259400,9.89
2015-01-05,9.28,9.48,9.19,9.43,8048700,9.43
2015-01-02,9.28,9.28,9.28,9.28,000,9.28
2015-01-01,9.28,9.28,9.28,9.28,000,9.28
2014-12-31,9.34,9.39,9.21,9.28,6361100,9.28
2014-12-30,9.70,9.76,9.22,9.34,9953700,9.34
2014-12-29,9.86,9.91,9.67,9.70,7327200,9.70
2014-12-26,9.82,9.94,9.72,9.85,7004700,9.85
2014-12-25,9.79,9.85,9.76,9.81,5961100,9.81
2014-12-24,9.76,9.86,9.72,9.80,4815300,9.80
2014-12-23,9.60,9.90,9.60,9.64,6896100,9.64
2014-12-22,10.28,10.40,9.60,9.73,18251300,9.73
2014-12-19,10.69,10.77,10.31,10.41,15608800,10.41
2014-12-18,10.60,10.78,10.51,10.61,15892700,10.61
2014-12-17,10.67,10.71,10.35,10.60,13591900,10.60
2014-12-16,10.68,10.74,10.60,10.66,12656300,10.66
2014-12-15,10.53,10.78,10.39,10.72,17602800,10.72
2014-12-12,10.45,10.72,10.37,10.64,20702700,10.64
2014-12-11,10.24,10.45,10.20,10.43,11350900,10.43
2014-12-10,10.08,10.35,10.02,10.31,9051300,10.31
2014-12-09,10.57,10.58,10.03,10.08,18543300,10.08
2014-12-08,10.40,10.75,10.40,10.58,21849500,10.58
2014-12-05,10.62,10.62,10.00,10.27,18893600,10.27
2014-12-04,10.64,10.69,10.52,10.62,17062200,10.62
2014-12-03,10.41,10.70,10.30,10.64,19235700,10.64
2014-12-02,10.32,10.47,10.32,10.41,8899200,10.41
2014-12-01,10.56,10.60,10.28,10.32,12133700,10.32
2014-11-28,10.90,10.90,10.51,10.56,22424600,10.56
2014-11-27,10.38,10.75,10.35,10.72,28442300,10.72
2014-11-26,10.40,10.44,10.28,10.36,11726800,10.36
2014-11-25,10.25,10.39,10.18,10.38,12956200,10.38
2014-11-24,10.19,10.25,10.12,10.21,9199800,10.21
2014-11-21,10.02,10.12,10.02,10.10,5357000,10.10
2014-11-20,10.17,10.17,10.02,10.06,5255600,10.06
2014-11-19,10.18,10.18,10.07,10.17,5708600,10.17
2014-11-18,10.04,10.17,10.00,10.16,5977000,10.16
2014-11-17,9.94,10.10,9.87,10.03,5587900,10.03
2014-11-14,9.97,9.99,9.83,9.89,6247200,9.89
2014-11-13,10.20,10.22,9.91,9.96,8940200,9.96
2014-11-12,10.08,10.21,10.04,10.19,4353500,10.19
2014-11-11,10.38,10.44,10.04,10.08,9850300,10.08
2014-11-10,10.35,10.41,10.31,10.39,6001600,10.39
2014-11-07,10.45,10.54,10.34,10.38,7844700,10.38
2014-11-06,10.45,10.51,10.32,10.45,7252500,10.45
2014-11-05,10.24,10.56,10.12,10.52,13913000,10.52
2014-11-04,10.43,10.43,10.20,10.25,8661800,10.25
2014-11-03,10.48,10.52,10.39,10.44,8973400,10.44
2014-10-31,10.57,10.57,10.41,10.48,8556800,10.48
2014-10-30,10.50,10.58,10.40,10.58,9847100,10.58
2014-10-29,10.50,10.55,10.36,10.49,9086900,10.49
2014-10-28,10.21,10.44,10.21,10.44,7222200,10.44
2014-10-27,10.12,10.22,10.04,10.20,5419200,10.20
2014-10-24,10.03,10.16,10.03,10.13,5922900,10.13
2014-10-23,10.27,10.39,10.01,10.03,8709700,10.03
2014-10-22,10.45,10.50,10.30,10.32,7744700,10.32
2014-10-21,10.69,10.69,10.43,10.44,8329800,10.44
2014-10-20,10.58,10.68,10.55,10.66,7237100,10.66
2014-10-17,10.90,10.91,10.40,10.58,20656800,10.58
2014-10-16,11.19,11.20,10.95,10.96,13290300,10.96
2014-10-15,11.14,11.28,11.13,11.24,8115500,11.24
2014-10-14,11.15,11.24,11.10,11.13,8482800,11.13
2014-10-13,11.19,11.24,11.08,11.17,7791000,11.17
2014-10-10,11.35,11.35,11.20,11.23,10390300,11.23
2014-10-09,11.24,11.38,11.13,11.37,18589300,11.37
2014-10-08,11.20,11.28,11.02,11.27,23964700,11.27
2014-10-07,11.47,11.47,11.47,11.47,000,11.47
2014-10-06,11.47,11.47,11.47,11.47,000,11.47
2014-10-03,11.47,11.47,11.47,11.47,000,11.47
2014-10-02,11.47,11.47,11.47,11.47,000,11.47
2014-10-01,11.47,11.47,11.47,11.47,000,11.47
2014-09-30,11.44,11.52,11.40,11.47,10028200,11.47
2014-09-29,11.33,11.48,11.33,11.44,10458600,11.44
2014-09-26,11.32,11.35,11.25,11.33,7556800,11.33
2014-09-25,11.45,11.56,11.33,11.36,12817400,11.36
2014-09-24,11.25,11.45,11.24,11.44,12631100,11.44
2014-09-23,11.09,11.28,11.09,11.24,8651000,11.24
2014-09-22,11.36,11.36,11.00,11.07,15214100,11.07
2014-09-19,11.35,11.42,11.29,11.38,8445800,11.38
2014-09-18,11.42,11.42,11.26,11.37,11138300,11.37
2014-09-17,11.33,11.47,11.28,11.44,10464800,11.44
2014-09-16,11.75,11.78,11.30,11.32,20509100,11.32
2014-09-15,11.65,11.76,11.61,11.74,18438600,11.74
2014-09-12,11.52,11.64,11.51,11.63,16136500,11.63
2014-09-11,11.58,11.69,11.38,11.52,30792500,11.52
2014-09-10,12.00,12.00,11.43,11.61,68991800,11.61
2014-09-09,12.60,12.67,12.38,12.60,18967600,12.60
2014-09-08,12.58,12.58,12.58,12.58,000,12.58
2014-09-05,12.74,12.74,12.44,12.58,24592500,12.58
2014-09-04,12.40,12.95,12.25,12.75,41665500,12.75
2014-09-03,12.56,12.60,12.34,12.46,24115500,12.46
2014-09-02,12.37,12.61,12.24,12.55,25136600,12.55
2014-09-01,12.40,12.46,12.15,12.39,18012600,12.39
2014-08-29,12.12,12.57,12.03,12.34,17239000,12.34
2014-08-28,12.59,12.59,12.08,12.09,20138600,12.09
2014-08-27,12.26,12.69,12.21,12.61,29983800,12.61
2014-08-26,12.11,12.75,12.11,12.37,39050700,12.37
2014-08-25,12.18,12.37,12.10,12.11,14571000,12.11
2014-08-22,12.15,12.19,12.05,12.18,10009900,12.18
2014-08-21,12.16,12.23,11.93,12.09,12851500,12.09
2014-08-20,12.25,12.37,12.15,12.20,14820400,12.20
2014-08-19,12.40,12.50,12.20,12.26,27722200,12.26
2014-08-18,11.90,12.50,11.86,12.43,36198700,12.43
2014-08-15,11.70,11.83,11.54,11.82,10569900,11.82
2014-08-14,11.85,11.95,11.68,11.70,14872600,11.70
2014-08-13,11.96,11.99,11.65,11.80,14100200,11.80
2014-08-12,11.99,12.10,11.88,11.96,13833300,11.96
2014-08-11,11.78,11.93,11.74,11.86,10640700,11.86
2014-08-08,11.76,11.85,11.70,11.81,9601800,11.81
2014-08-07,12.06,12.14,11.78,11.80,20093700,11.80
2014-08-06,12.23,12.24,12.04,12.12,19634800,12.12
2014-08-05,11.91,12.25,11.79,12.24,27967700,12.24
2014-08-04,11.70,11.88,11.66,11.86,11694200,11.86
2014-08-01,11.95,11.99,11.71,11.75,16476600,11.75
2014-07-31,11.56,12.04,11.53,12.00,29036900,12.00
2014-07-30,11.60,11.68,11.51,11.59,11521100,11.59
2014-07-29,11.70,11.70,11.51,11.62,14201400,11.62
2014-07-28,11.55,11.72,11.51,11.68,12943900,11.68
2014-07-25,11.31,11.62,11.28,11.52,9863500,11.52
2014-07-24,11.50,11.60,11.25,11.32,9056700,11.32
2014-07-23,11.59,11.83,11.46,11.50,11840400,11.50
2014-07-22,11.30,11.65,11.30,11.59,11476600,11.59
2014-07-21,11.50,11.52,11.25,11.33,6900100,11.33
2014-07-18,11.46,11.55,11.31,11.37,7902300,11.37
2014-07-17,11.42,11.50,11.30,11.49,9510900,11.49
2014-07-16,11.73,11.82,11.38,11.42,14314200,11.42
2014-07-15,12.01,12.14,11.68,11.78,15662200,11.78
2014-07-14,11.76,12.08,11.70,12.03,15949000,12.03
2014-07-11,11.55,11.90,11.50,11.75,17528000,11.75
2014-07-10,11.99,12.12,11.57,11.61,28415800,11.61
2014-07-09,12.17,12.45,12.05,12.09,28281100,12.09
2014-07-08,12.26,12.35,12.01,12.22,24256400,12.22
2014-07-07,12.16,12.54,12.10,12.39,21601600,12.39
2014-07-04,12.80,12.95,12.30,12.33,37947300,12.33
2014-07-03,12.52,12.85,12.30,12.51,35738700,12.51
2014-07-02,12.75,12.97,12.46,12.60,53076300,12.60
2014-07-01,13.20,13.20,12.45,12.99,95403600,12.99
2014-06-30,12.06,12.06,12.06,12.06,5149600,12.06
2014-06-27,10.96,10.96,10.96,10.96,000,10.96
2014-06-26,10.96,10.96,10.96,10.96,000,10.96
2014-06-25,10.76,10.98,10.62,10.96,12013600,10.96
2014-06-24,10.70,10.96,10.60,10.87,22244900,10.87
2014-06-23,10.51,10.54,10.37,10.49,9902300,10.49
2014-06-20,10.26,10.43,10.11,10.41,9828500,10.41
2014-06-19,10.87,10.88,10.12,10.28,25130900,10.28
2014-06-18,11.10,11.17,10.86,10.88,19069800,10.88
2014-06-17,10.84,11.05,10.76,11.00,26270800,11.00
2014-06-16,10.72,10.96,10.70,10.84,18714900,10.84
2014-06-13,10.40,10.85,10.28,10.83,25859500,10.83
2014-06-12,10.58,10.67,10.44,10.47,10994600,10.47
