Date,Open,High,Low,Close,Volume,Adj Close,KDJ,MACD
2014/12/18,12.11,12.11,11,11.24,55039400,11.24,"K=67.18
D=62.24
J=77.06","DIF=0.61
DEA=0.58
MACD=0.06"
2014/12/17,11.2,12.16,10.86,12.16,55039400,12.16,K=?,"DIF=0.622 
DEA=0.574 
MACD=0.096"
2014/12/16,11,11.27,10.61,11.05,55039400,11.05,,
2014/12/15,10.7,10.91,10.45,10.82,33539400,10.82,,
2014/12/12,10.35,10.64,10.3,10.5,22521300,10.5,,
2014/12/11,10.36,10.65,10.1,10.5,36207300,10.5,,
2014/12/10,10.8,10.8,10.14,10.4,37719600,10.4,,
2014/12/9,10.9,11.05,9.81,10.57,69160600,10.57,,
2014/12/8,11.12,11.21,10.44,10.9,61308300,10.9,,
2014/12/5,10.85,11.61,10.57,11.14,65369500,11.14,,
2014/12/4,10.79,11,10.59,10.85,28212200,10.85,,
2014/12/3,10.98,10.99,10.41,10.79,29628000,10.79,,
2014/12/2,10.64,11.25,10.5,10.95,36100500,10.95,,
2014/12/1,10.74,10.77,9.94,10.74,20221800,10.74,,
2014/11/28,10.5,10.98,10.41,10.73,32606000,10.73,,
2014/11/27,10.23,10.93,10.1,10.81,38311200,10.81,,
2014/11/26,10.2,10.67,10.11,10.43,43120800,10.43,,
2014/11/25,9.27,10.2,9.21,10.2,48168100,10.2,,
2014/11/24,9.22,9.51,9.07,9.27,22244300,9.27,,
2014/11/21,8.78,9.34,8.66,9.22,24402000,9.22,,
2014/11/20,8.18,8.9,8.18,8.89,20428000,8.89,,
2014/11/19,7.91,8.24,7.83,8.18,6967100,8.18,,
2014/11/18,7.84,7.98,7.82,7.92,4049800,7.92,,
2014/11/17,7.75,7.93,7.7,7.9,6056300,7.9,,
2014/11/14,7.77,7.83,7.52,7.82,9194700,7.82,,
2014/11/13,7.89,7.92,7.71,7.78,3702400,7.78,,
2014/11/12,7.9,7.96,7.81,7.93,3600500,7.93,,
2014/11/11,7.93,8.05,7.65,7.98,10015900,7.98,,
2014/11/10,8.26,8.26,7.8,7.92,10249300,7.92,,
2014/11/7,8.26,8.49,8.2,8.24,7634800,8.24,,
2014/11/6,8.3,8.35,8.18,8.23,4680400,8.23,,
2014/11/5,8.28,8.45,8.15,8.36,9297300,8.36,,
2014/11/4,8,8.4,7.93,8.39,20500400,8.39,,
2014/11/3,7.61,8.33,7.51,8.25,29054900,8.25,,
2014/10/31,8.32,8.38,8.1,8.33,5706700,8.33,,
2014/10/30,8.58,8.59,8.12,8.28,12900700,8.28,,
2014/10/29,8.46,8.7,8.39,8.58,8419800,8.58,,
2014/10/28,8.3,8.41,8.16,8.4,6323200,8.4,,
2014/10/27,8.02,8.35,8,8.3,6893500,8.3,,
2014/10/24,7.65,7.99,7.58,7.98,10470200,7.98,,
2014/10/23,8.25,8.25,7.44,7.7,14567700,7.7,,
2014/10/22,8.5,8.52,8.15,8.25,5852800,8.25,,
2014/10/21,8.75,8.76,8.45,8.5,6208500,8.5,,
2014/10/20,8.83,8.88,8.58,8.73,5654800,8.73,,
2014/10/17,8.69,8.88,8.39,8.74,10187300,8.74,,
